ID,SUB_ID,FILE_ID,RT,F0,LSF,MEL,MFCC,MFCC_D1,MFCC_D2,TEMP,PERCP,SPECT
1,CMU_13,LS_374_180299_0006_SWT_LS_2843_152918_0016_tChange_5513_ms_rstamp_6079_ms_flag_1_lid_CMU_13,566.0000,0.4193,2.6937,0.8962,3.2219,2.1962,0.7273,2.6513,0.6729,0.8675
1,CMU_13,LS_374_180299_0009_SWT_LS_7505_83618_0010_tChange_6219_ms_rstamp_6828_ms_flag_1_lid_CMU_13,609.0000,1.3585,2.4089,1.7379,2.8014,2.5666,1.5988,0.5492,3.0198,2.7873
1,CMU_13,LS_374_180299_0011_SWT_LS_7447_91187_0027_tChange_6487_ms_rstamp_6809_ms_flag_1_lid_CMU_13,322.0000,1.4762,4.1615,2.9330,3.9897,3.2962,3.4453,1.1939,3.4559,3.1765
1,CMU_13,LS_374_180299_0013_SWT_LS_7505_83618_0016_tChange_5607_ms_rstamp_5932_ms_flag_1_lid_CMU_13,325.0000,1.7431,2.8437,1.1462,3.9694,4.3346,1.1941,2.5203,1.0742,1.2494
1,CMU_13,LS_374_180299_0019_SWT_LS_7447_91187_0061_tChange_5557_ms_rstamp_5840_ms_flag_1_lid_CMU_13,283.0000,1.3909,2.5869,2.2706,3.2929,3.7754,2.0561,1.8540,2.2911,3.1712
1,CMU_13,LS_374_180299_0021_SWT_LS_2843_152918_0023_tChange_6163_ms_rstamp_6543_ms_flag_1_lid_CMU_13,380.0000,0.5131,3.5545,1.3744,3.4578,3.5342,1.9281,2.7563,1.9139,2.7588
1,CMU_13,LS_374_180299_0022_SWT_LS_2843_152918_0028_tChange_5577_ms_rstamp_5942_ms_flag_1_lid_CMU_13,365.0000,0.9105,3.0452,1.9803,2.7917,2.1365,1.6750,0.2578,2.5874,2.1166
1,CMU_13,LS_374_180299_0024_SWT_LS_7505_83618_0024_tChange_5886_ms_rstamp_6623_ms_flag_1_lid_CMU_13,737.0000,0.0607,4.6785,1.7333,4.6925,1.6967,1.5384,2.8051,2.4939,1.8125
1,CMU_13,LS_374_180299_0030_SWT_LS_7447_91186_0038_tChange_6473_ms_rstamp_7022_ms_flag_1_lid_CMU_13,549.0000,1.1150,2.6771,1.1392,1.5508,1.1265,1.6264,0.8733,2.1137,1.5067
1,CMU_13,LS_374_180299_0031_SWT_LS_5456_62043_0022_tChange_5721_ms_rstamp_6187_ms_flag_1_lid_CMU_13,466.0000,1.3953,4.0362,3.1329,3.9402,2.7149,1.3001,2.6779,3.9528,3.8603
1,CMU_13,LS_374_180299_0038_SWT_LS_2843_152918_0026_tChange_6462_ms_rstamp_6908_ms_flag_1_lid_CMU_13,446.0000,0.2786,1.8989,1.0655,1.7556,2.4640,0.9333,1.6981,1.3201,0.9357
1,CMU_13,LS_374_180299_0045_SWT_LS_7447_91187_0057_tChange_6089_ms_rstamp_6702_ms_flag_1_lid_CMU_13,613.0000,0.3014,3.6724,2.6313,4.2124,1.0810,1.9249,0.7527,3.9291,2.3972
1,CMU_13,LS_5456_24741_0006_SWT_LS_7447_91187_0061_tChange_5824_ms_rstamp_6121_ms_flag_1_lid_CMU_13,297.0000,0.0062,5.1362,1.8948,6.0111,3.5228,2.8419,1.5499,2.7541,3.6161
1,CMU_13,LS_5456_24741_0008_SWT_LS_7505_83618_0015_tChange_5678_ms_rstamp_6004_ms_flag_1_lid_CMU_13,326.0000,2.8433,3.7463,2.8824,3.3074,2.4334,1.9252,0.2654,2.6236,2.4300
1,CMU_13,LS_5456_24741_0009_SWT_LS_7447_91187_0036_tChange_6219_ms_rstamp_6512_ms_flag_1_lid_CMU_13,293.0000,0.7121,2.1780,2.3935,2.9132,2.7526,4.9330,3.3024,2.5178,1.9590
1,CMU_13,LS_5456_24741_0012_SWT_LS_374_180299_0004_tChange_6156_ms_rstamp_6640_ms_flag_1_lid_CMU_13,484.0000,3.3046,1.5619,1.6899,1.2719,1.7111,3.2480,1.5206,1.1266,0.5503
1,CMU_13,LS_5456_24741_0013_SWT_LS_374_180298_0059_tChange_6023_ms_rstamp_6563_ms_flag_1_lid_CMU_13,540.0000,1.1594,2.0166,2.0966,3.0357,1.0022,1.5840,0.7436,0.3850,0.3760
1,CMU_13,LS_5456_24741_0019_SWT_LS_7447_91186_0038_tChange_6417_ms_rstamp_6760_ms_flag_1_lid_CMU_13,343.0000,0.3483,1.7946,0.9067,1.6043,0.8035,3.1144,0.2225,1.4619,0.6685
1,CMU_13,LS_5456_58161_0000_SWT_LS_374_180299_0033_tChange_6312_ms_rstamp_6956_ms_flag_1_lid_CMU_13,644.0000,0.6861,5.1727,2.1933,5.1370,1.1429,1.6702,0.9864,1.2894,1.9372
1,CMU_13,LS_5456_58161_0003_SWT_LS_2843_152918_0028_tChange_7787_ms_rstamp_8442_ms_flag_1_lid_CMU_13,655.0000,1.1253,4.8215,2.7043,4.5937,1.1936,1.0795,1.2041,2.3292,3.2285
1,CMU_13,LS_5456_58161_0009_SWT_LS_374_180299_0037_tChange_5767_ms_rstamp_6140_ms_flag_1_lid_CMU_13,373.0000,0.3335,3.4431,1.2330,3.1716,3.0699,1.3296,2.1934,1.9452,1.0274
1,CMU_13,LS_5456_58161_0017_SWT_LS_7505_258958_0035_tChange_5889_ms_rstamp_6702_ms_flag_1_lid_CMU_13,813.0000,0.6323,1.5592,3.8828,1.8084,2.2277,1.7435,0.0326,1.7684,0.7599
